COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A0A14_CNT,A0A14_M_CNT,A0A14_F_CNT,A15A64_CNT,A15A64_M_CNT,A15A64_F_CNT,A65UP_CNT,A65UP_M_CNT,A65UP_F_CNT,INFO_TIME
"64000",高雄市,"64000050",三民區,64000050-056,德東里,"68","38","30","497","251","246","224","93","131",113Y06M
"64000",高雄市,"64000050",三民區,64000050-057,德行里,"80","39","41","702","344","358","332","170","162",113Y06M
"64000",高雄市,"64000050",三民區,64000050-058,精華里,"117","62","55","991","499","492","468","215","253",113Y06M
"64000",高雄市,"64000050",三民區,64000050-059,民享里,"160","94","66","1260","627","633","612","279","333",113Y06M
"64000",高雄市,"64000050",三民區,64000050-060,安宜里,"317","164","153","2265","1143","1122","820","326","494",113Y06M
"64000",高雄市,"64000050",三民區,64000050-061,安泰里,"350","192","158","2633","1307","1326","1043","442","601",113Y06M
"64000",高雄市,"64000050",三民區,64000050-062,安邦里,"404","215","189","2698","1334","1364","1037","457","580",113Y06M
"64000",高雄市,"64000050",三民區,64000050-063,十全里,"173","90","83","1250","597","653","408","175","233",113Y06M
"64000",高雄市,"64000050",三民區,64000050-064,十美里,"137","71","66","1166","596","570","533","235","298",113Y06M
"64000",高雄市,"64000050",三民區,64000050-065,德北里,"239","127","112","1676","794","882","561","259","302",113Y06M
"64000",高雄市,"64000050",三民區,64000050-066,立誠里,"58","29","29","459","220","239","233","104","129",113Y06M
"64000",高雄市,"64000050",三民區,64000050-067,立業里,"75","35","40","584","289","295","267","124","143",113Y06M
"64000",高雄市,"64000050",三民區,64000050-068,港東里,"80","37","43","892","449","443","443","194","249",113Y06M
"64000",高雄市,"64000050",三民區,64000050-069,港新里,"257","141","116","1082","512","570","399","177","222",113Y06M
"64000",高雄市,"64000050",三民區,64000050-070,港西里,"35","13","22","474","247","227","256","125","131",113Y06M
"64000",高雄市,"64000050",三民區,64000050-072,博愛里,"60","32","28","792","391","401","320","146","174",113Y06M
"64000",高雄市,"64000050",三民區,64000050-073,博惠里,"560","297","263","2790","1361","1429","1150","492","658",113Y06M
"64000",高雄市,"64000050",三民區,64000050-074,長明里,"80","43","37","720","375","345","277","119","158",113Y06M
"64000",高雄市,"64000050",三民區,64000050-075,建東里,"57","29","28","878","394","484","286","125","161",113Y06M
"64000",高雄市,"64000050",三民區,64000050-076,興德里,"139","72","67","1467","693","774","487","219","268",113Y06M
"64000",高雄市,"64000050",三民區,64000050-077,鳳南里,"91","51","40","685","342","343","294","134","160",113Y06M
"64000",高雄市,"64000050",三民區,64000050-078,鳳北里,"95","49","46","861","430","431","379","185","194",113Y06M
"64000",高雄市,"64000050",三民區,64000050-079,德西里,"267","150","117","1892","839","1053","294","138","156",113Y06M
"64000",高雄市,"64000050",三民區,64000050-081,豐裕里,"180","100","80","1691","860","831","632","268","364",113Y06M
"64000",高雄市,"64000050",三民區,64000050-082,川東里,"81","37","44","882","461","421","281","136","145",113Y06M
"64000",高雄市,"64000050",三民區,64000050-083,裕民里,"137","78","59","1043","526","517","259","109","150",113Y06M
"64000",高雄市,"64000050",三民區,64000050-084,力行里,"65","34","31","704","377","327","306","153","153",113Y06M
"64000",高雄市,"64000050",三民區,64000050-085,千歲里,"92","52","40","723","361","362","356","157","199",113Y06M
"64000",高雄市,"64000050",三民區,64000050-086,立德里,"89","42","47","837","414","423","330","141","189",113Y06M
"64000",高雄市,"64000050",三民區,64000050-087,千北里,"76","40","36","707","363","344","284","112","172",113Y06M
"64000",高雄市,"64000050",三民區,64000050-088,千秋里,"126","57","69","1361","703","658","570","252","318",113Y06M
"64000",高雄市,"64000060",新興區,64000060-001,浩然里,"114","65","49","1178","557","621","573","245","328",113Y06M
"64000",高雄市,"64000060",新興區,64000060-002,振成里,"69","35","34","644","312","332","349","145","204",113Y06M
"64000",高雄市,"64000060",新興區,64000060-003,德生里,"404","214","190","2084","920","1164","792","335","457",113Y06M
"64000",高雄市,"64000060",新興區,64000060-004,振華里,"83","48","35","676","335","341","335","147","188",113Y06M
"64000",高雄市,"64000060",新興區,64000060-005,正氣里,"79","38","41","851","405","446","464","208","256",113Y06M
"64000",高雄市,"64000060",新興區,64000060-006,德政里,"47","20","27","438","201","237","183","85","98",113Y06M
"64000",高雄市,"64000060",新興區,64000060-007,仁聲里,"76","38","38","754","329","425","274","112","162",113Y06M
"64000",高雄市,"64000060",新興區,64000060-008,德望里,"165","97","68","1246","611","635","567","251","316",113Y06M
